Algorithm,Topology,Graph Type,Degree,# of Runs,Avg Time (s),Avg Qubits,Avg Maxchain Size,Avg Fail/No Fail
Layout Aware [No Migration],Chimera,Complete,60,4,5.08111685,326.46144,7.83648,0
Minorminer,Pegasus,Complete,0,4,0,0,0,1
Minorminer,Pegasus,Complete,1,4,0,0,0,0
Minorminer,Pegasus,Complete,2,4,0,0,0,0
Minorminer,Pegasus,Complete,3,4,0.007272108,0.74976,0.24992,0
Minorminer,Pegasus,Complete,4,4,0.007442309,0.99968,0.24992,0
Minorminer,Pegasus,Complete,5,4,0.013320347,1.49952,0.49984,0
Minorminer,Pegasus,Complete,6,4,0.012580343,1.99936,0.49984,0
Minorminer,Pegasus,Complete,7,4,0.018904179,2.4992,0.49984,0
Minorminer,Pegasus,Complete,8,4,0.016757011,2.99904,0.49984,0
Minorminer,Pegasus,Complete,9,4,0.017941678,3.49952,0.49984,0
Minorminer,Pegasus,Complete,10,4,0.023878501,4.49472,0.49984,0
Minorminer,Pegasus,Complete,11,4,0.02931141,5.40832,0.50976,0
Minorminer,Pegasus,Complete,12,4,0.040615556,5.98144,0.74176,0
Minorminer,Pegasus,Complete,13,4,0.051959576,7.1616,0.74816,0
Minorminer,Pegasus,Complete,14,4,0.063059763,8.23776,0.74976,0
Minorminer,Pegasus,Complete,15,4,0.092104974,8.74688,0.74976,0
Minorminer,Pegasus,Complete,16,4,0.110576436,9.75808,0.74976,0
Minorminer,Pegasus,Complete,17,4,0.118572734,10.54656,0.74976,0
Minorminer,Pegasus,Complete,18,4,0.117877802,11.50368,0.74976,0
Minorminer,Pegasus,Complete,19,4,0.142118915,13.09696,0.94976,0
Minorminer,Pegasus,Complete,20,4,0.175055396,13.8928,0.79968,0
Minorminer,Pegasus,Complete,21,4,0.273538801,15.2848,0.99968,0
Minorminer,Pegasus,Complete,22,4,0.295250768,17.10432,0.99968,0
